,entity,code,year,human_food,animal_feed,processed
489,Australia,AUS,1982,1000.0,24000.0,57000.0
490,Australia,AUS,1983,1000.0,21000.0,50000.0
491,Australia,AUS,1984,1000.0,22000.0,82000.0
492,Australia,AUS,1985,1000.0,32000.0,97000.0
493,Australia,AUS,1986,1000.0,19000.0,69000.0
494,Australia,AUS,1987,1000.0,14000.0,59000.0
495,Australia,AUS,1988,1000.0,23000.0,65000.0
496,Australia,AUS,1989,1000.0,61000.0,137000.0
497,Australia,AUS,1990,1000.0,18000.0,53000.0
498,Australia,AUS,1991,1000.0,35000.0,93000.0
499,Australia,AUS,1992,1000.0,36000.0,82000.0
500,Australia,AUS,1993,1000.0,24000.0,69000.0
501,Australia,AUS,1994,1000.0,33000.0,85000.0
502,Australia,AUS,1995,2000.0,29000.0,85000.0
503,Australia,AUS,1996,2000.0,181000.0,75000.0
504,Australia,AUS,1997,2000.0,165000.0,84000.0
505,Australia,AUS,1998,2000.0,12000.0,49000.0
506,Australia,AUS,1999,2000.0,45000.0,116000.0
507,Australia,AUS,2000,2000.0,162000.0,91000.0
508,Australia,AUS,2001,2000.0,44000.0,39000.0
509,Australia,AUS,2002,2000.0,3000.0,53000.0
510,Australia,AUS,2003,3000.0,19000.0,75000.0
511,Australia,AUS,2004,3000.0,76000.0,57000.0
512,Australia,AUS,2005,3000.0,142000.0,45000.0
513,Australia,AUS,2006,3000.0,74000.0,49000.0
514,Australia,AUS,2007,3000.0,6000.0,37000.0
515,Australia,AUS,2008,3000.0,2000.0,30000.0
516,Australia,AUS,2009,3000.0,2000.0,68000.0
517,Australia,AUS,2010,4000.0,1000.0,53000.0
518,Australia,AUS,2011,4000.0,1000.0,26000.0
519,Australia,AUS,2012,4000.0,11000.0,78000.0
520,Australia,AUS,2013,4000.0,3000.0,77000.0
521,Australia & New Zealand,,1961,0.0,0.0,0.0
522,Australia & New Zealand,,1962,0.0,0.0,0.0
523,Australia & New Zealand,,1963,0.0,0.0,1000.0
524,Australia & New Zealand,,1964,0.0,1000.0,2000.0
525,Australia & New Zealand,,1965,0.0,2000.0,5000.0
526,Australia & New Zealand,,1966,0.0,21000.0,1000.0
527,Australia & New Zealand,,1967,0.0,2000.0,1000.0
528,Australia & New Zealand,,1968,0.0,4000.0,1000.0
529,Australia & New Zealand,,1969,0.0,0.0,1000.0
530,Australia & New Zealand,,1970,0.0,0.0,4000.0
531,Australia & New Zealand,,1971,0.0,0.0,13000.0
532,Australia & New Zealand,,1972,0.0,8000.0,22000.0
533,Australia & New Zealand,,1973,0.0,0.0,24000.0
534,Australia & New Zealand,,1974,3000.0,29000.0,61000.0
535,Australia & New Zealand,,1975,1000.0,21000.0,57000.0
536,Australia & New Zealand,,1976,1000.0,0.0,13000.0
537,Australia & New Zealand,,1977,1000.0,22000.0,50000.0
538,Australia & New Zealand,,1978,1000.0,27000.0,60000.0
539,Australia & New Zealand,,1979,1000.0,21000.0,64000.0
540,Australia & New Zealand,,1980,1000.0,25000.0,63000.0
541,Australia & New Zealand,,1981,1000.0,32000.0,75000.0
542,Australia & New Zealand,,1982,1000.0,24000.0,57000.0
543,Australia & New Zealand,,1983,1000.0,21000.0,50000.0
544,Australia & New Zealand,,1984,1000.0,22000.0,82000.0
545,Australia & New Zealand,,1985,1000.0,32000.0,97000.0
546,Australia & New Zealand,,1986,1000.0,19000.0,69000.0
547,Australia & New Zealand,,1987,1000.0,14000.0,59000.0
